id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	form	form_seg	form_gloss	russian_gloss	date
1	East  Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	ramazanov2010	504	"Ramazanov notes that сабах1 is an ironic (""шутл.-ирон."") word."	Samira Verhees	сабахIх'айир	сабахI-х'айир	dawn-benefit	утро-благо	4.2021
2	East  Caucasian	Andic	Northern Akhvakh	Tad-Magitl'	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedovaabdulaeva2007	147		Samira Verhees	гьечIайичи	гьечI-айи=чи	get_up-pst=q	вставать-pst=q	4.2021
3	East  Caucasian	Andic	Lower Andi	Muni	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Patimat Nurmagomedova, p.c.		The infix is not really a class marker, but the remnants of one.	Samira Verhees	гьучIиде	гь<у>чI-и=де	get_up<m>-aor=q	вставать<m>-aor=q	4.2021
4	East  Caucasian	Andic	Upper Andi	Rikvani	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Chopan Gaziev, p.c.		"Answer: менгуло вуч1иде? (""А сам проснулся?""); в грамматике Сулейманова, глагол в/уч1и не встречается как ""проснуться, встать"", но Чопан его использовал в одной моей анкете, так что видимо существует как отдельный глагол в рикванинском."	Samira Verhees	вучIиде	в-учI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
5	East  Caucasian	Andic	Upper Andi	Zilo	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Aligadzhi Magomedov, p.c.		Вопросительная частица прошедшего времени в Зило будет =диле. Они как будто заимствовали приветствие из собственно андийского диалекта! Алигаджи прокомментировал, что вуч1ч1иде - приветствие, а вуч1ч1идиле, когда реально задается вопрос, проснулся ли человек! Ваааауууууу.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
6	East  Caucasian	Andic	Upper Andi	Andi	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	alisultanova2009	127	Verb means 'get up' rather than 'wake up'.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
7	East  Caucasian	Lezgic	Archi	Archib	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Marina Chumakina, p.c.			Chiara Naccarato	nibk’i owc’ura?	nibk’i o<w>c’u=ra	sleep.erg ‹m.sg›fill(pfv)=q	сон.erg ‹m.sg›наполнять(pfv)=q	4.2021
8	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	omniglotGM			Chiara Naccarato	bari luys	bari luys	good light	добрый свет	4.2021
9	East  Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	gimbatov2006	332		Samira Verhees	ворчIами	в-орчI-ами	m-wake_up-pst.q	m-просыпаться-pst.q	4.2021
10	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	omniglotGM; Monika Rind-Pawlowski, p.c.	NA; NA		Samira Verhees	Sabahın xeyir / Sabahınız xeyir	Sabah-ın xeyir / Sabah-ınız xeyir	morning-2sg.pos benefit / morning-2pl.pos benefit	утро-2sg.pos благо / утро-2pl.pos благо	4.2021
11	East  Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedova2004	156		Samira Verhees	гьецIииваали	гьецIииваали	get_up.pst.cvb.q	вставать.pst.cvb.q	4.2021
12	East  Caucasian	Andic	Bagvalal	Khushtada	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	magomedova2004	122		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
13	East  Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Zaira Xalilova, p.c.			Chiara Naccarato	aʁiʔjo(di)	ø-aʁiʔ-jo(=di)	m-get_up-pst(=q)	m-вставать-pst(=q)	4.2021
14	East  Caucasian	Tsezic	Bezhta	Bezhta	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilov2015	103		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
15	East  Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	saidovaabusov2012	163		Samira Verhees	гьичIчIума	гьичIчI-у=ма	get_up-aor=q	вставать-aor=q	4.2021
16	East  Caucasian	Andic	Botlikh	Botlikh	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Magomed Abusov, p.c.			Samira Verhees	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
17	East  Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	mejlanova1984	118		Samira Verhees	памаджар хер сахье!	памаджар хер сахье!	morning good may_be	утром добрый будь	4.2021
18	East  Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedova1999	133		Samira Verhees	гьесIсIее	гьесIсI-ее	get_up.pst=q	вставать.pst=q	4.2021
